programa,conductora,jefatura_programa,jefatura_medio,notas,regional,formato,sector,propiedad,minutos_totales,hombre,mujer,varios,suma,diferencia_porc
Así las cosas Jalisco,0,1,0,"Conductores del programa: Diego Petersen, Augusto Chacón y Alejandro Sierra. Jefa de información: Patricia Sánchez. Director del medio: Alberto Heyser.",0,otro,radio,privado,146,0.73,0.15,0.11,1,0.58
Buenas Tardes,1,1,0,Conductora del programa: Ruth Mari?a Rodri?guez. Jefa de Redacción: Griselda Torres Zambrano. Director del medio: Alejandro Díaz. ,0,noticiario,radio,privado,29,0.8,0,0.2,1,0.8
Buenos Días Metrópoli,1,1,0,Conductorxs del programa: Gricelda Torres y Mario Muñoz de Loza. Jefa de Redacción: Griselda Torres Zambrano. Director del medio: Alejandro Díaz. ,0,noticiario,radio,privado,165,0.45,0.14,0.41,1,0.31
Cara a Cara,0,1,1,Conductor del programa: Jonathan Lomelí.  Jefa de información: Laura Mora. Directora General: Laura Mora.,0,otro,radio,privado,589,0.51,0.37,0.12,1,0.14
Cosa Pública 2.0,0,0,1,Conductores del programa: Rubén Martín y Jesús Estrada.  Productor: Fabian Casares Rodríguez. Subdirectora Regional Radio Guadalajara: Dra. Julieta Maron. ,0,noticiario,radio,público,16,0.31,0.19,0.5,1,0.12
Cruzando la Línea de los Hechos,1,0,0,Conductorxs del programa: Ricardo García y Gabriela Salazar. Jefe de información: Eric Chavez. Jefe de Noticias: Alonso Javier Marquéz. ,0,otro,radio,privado,1240,0.76,0.23,0.01,1,0.52
De Frente en Jalisco,1,1,1,Conductora del programa: Gabriela Aguilar. Jefatura: Gabriela Aguilar. ,0,otro,radio,privado,741,0.44,0.35,0.22,1,0.09
Forma y Fondo,0,1,0,Conductores del programa: Jorge Octavio Navarro y Mario Muñoz.  Jefa de Redacción: Griselda Torres Zambrano. Director del medio: Alejandro Díaz. ,0,otro,radio,privado,487,0.72,0.24,0.04,1,0.48
Fórmula Noticias Primera Emisión,0,0,0,Conductor del programa: Hiram Espinoza de los Monteros. Jefatura de información. no cuentan con una. Director general: Marck Hernández.,0,noticiario,radio,privado,73,0.53,0.03,0.44,1,0.5
Fórmula Noticias Segunda Emisión,0,0,0,Conductor del programa: Miguel Ángel Collado. Jefatura de información. no cuentan con una. Director general: Marck Hernández.,0,noticiario,radio,privado,89,0.57,0.19,0.24,1,0.37
Heraldo Noticias Jalisco,1,1,1,Conductora del programa: Mafalda Wario. Jefatura: Gabriela Aguilar. ,0,noticiario,radio,privado,272,0.49,0.17,0.34,1,0.31
Imagen Radio Guadalajara,0,0,0,Conductor del programa: Enrique Toussaint. Jefe de Redacción: No cuentan con uno. Director del medio: Julio López. ,0,noticiario,radio,privado,522,0.61,0.38,0.01,1,0.23
Informativo NTR Mañana,0,0,1,Conductor del programa: Guillermo Ortega Ruiz. Jefatura de Información: No cuentan con nadie. Directora General: Sonia Serrano.,0,noticiario,radio,privado,58,0.71,0.11,0.18,1,0.6
Informativo NTR Noche,0,0,1,Conductor del programa: Sergio René de Dios. Jefatura de Información: No cuentan con nadie. Directora General: Sonia Serrano.,0,noticiario,radio,privado,224,0.46,0.25,0.3,1,0.21
Informativo NTR Tarde,1,0,1,Conductora del programa: Sonia Serrano. Jefatura de Información: No cuentan con nadie. Directora General: Sonia Serrano.,0,noticiario,radio,privado,345,0.52,0.31,0.17,1,0.22
Ke Buena Radar Informativo Lagos de Moreno,0,1,0,Conductor del programa: Juan Carlos Álvarez. efa de información: Patricia Sánchez. Director del medio: Alberto Heyser.,1,noticiario,radio,privado,779,0.46,0.37,0.16,1,0.09
La Red de Puerto Vallarta Mañana,0,0,0,Conductor del programa: Carlos Ireti. Jefatura de información: no contaban con uno. Director General: Antonio Rodríguez Peyo,1,noticiario,radio,privado,493,0.65,0.28,0.07,1,0.37
La Red de Puerto Vallarta Tarde,1,0,0,Conductora del programa: Carolina Gómez. ,1,noticiario,radio,privado,655,0.64,0.3,0.06,1,0.34
Líder Informativo primera emisión,0,0,0,Conductor del programa: Ramiro Escoto. Jefe de redacción: no cuentan con uno. Directora del medio: Patricia Romo. ,0,noticiario,radio,privado,476,0.84,0.05,0.11,1,0.79
